region,technology,capacity.factor
Russia,biomass (IGCC CCS),0.8
Russia,Gen_II_LWR,0.9
Russia,Gen_III,0.9
Russia,geothermal,0.9
South Africa,wind,0.37
South Africa,wind_storage,0.37
South Africa,rooftop_pv,0.276146447
South Africa,CSP,0.221167551
South Africa,CSP_storage,0.575035633
South Africa,PV,0.276146447
South Africa,PV_storage,0.276146447
South Africa,coal (conv pul),0.85
South Africa,coal (conv pul CCS),0.8
South Africa,coal (IGCC),0.8
South Africa,coal (IGCC CCS),0.8
South Africa,gas (steam/CT),0.8
South Africa,gas (CC),0.85
South Africa,gas (CC CCS),0.8
South Africa,refined liquids (steam/CT),0.8
South Africa,refined liquids (CC),0.85
South Africa,refined liquids (CC CCS),0.8
South Africa,biomass (conv),0.85
South Africa,biomass (conv CCS),0.8
South Africa,biomass (IGCC),0.8
South Africa,biomass (IGCC CCS),0.8
South Africa,Gen_II_LWR,0.9
South Africa,Gen_III,0.9
South Africa,geothermal,0.9
South America_Northern,wind,0.36
South America_Northern,wind_storage,0.36
South America_Northern,rooftop_pv,0.242998806
South America_Northern,CSP,0.280280054
South America_Northern,CSP_storage,0.72872814
South America_Northern,PV,0.242998806
South America_Northern,PV_storage,0.242998806
South America_Northern,coal (conv pul),0.85
South America_Northern,coal (conv pul CCS),0.8
South America_Northern,coal (IGCC),0.8
South America_Northern,coal (IGCC CCS),0.8
South America_Northern,gas (steam/CT),0.8
South America_Northern,gas (CC),0.85
South America_Northern,gas (CC CCS),0.8
South America_Northern,refined liquids (steam/CT),0.8
South America_Northern,refined liquids (CC),0.85
South America_Northern,refined liquids (CC CCS),0.8
South America_Northern,biomass (conv),0.85
South America_Northern,biomass (conv CCS),0.8
South America_Northern,biomass (IGCC),0.8
South America_Northern,biomass (IGCC CCS),0.8
South America_Northern,Gen_II_LWR,0.9
South America_Northern,Gen_III,0.9
South America_Northern,geothermal,0.9
South America_Southern,wind,0.37
South America_Southern,wind_storage,0.37
South America_Southern,rooftop_pv,0.240659276
South America_Southern,CSP,0.241142534
South America_Southern,CSP_storage,0.626970589
South America_Southern,PV,0.240659276
South America_Southern,PV_storage,0.240659276
South America_Southern,coal (conv pul),0.85
South America_Southern,coal (conv pul CCS),0.8
South America_Southern,coal (IGCC),0.8
South America_Southern,coal (IGCC CCS),0.8
South America_Southern,gas (steam/CT),0.8
South America_Southern,gas (CC),0.85
South America_Southern,gas (CC CCS),0.8
South America_Southern,refined liquids (steam/CT),0.8
South America_Southern,refined liquids (CC),0.85
South America_Southern,refined liquids (CC CCS),0.8
South America_Southern,biomass (conv),0.85
South America_Southern,biomass (conv CCS),0.8
South America_Southern,biomass (IGCC),0.8
South America_Southern,biomass (IGCC CCS),0.8
South America_Southern,Gen_II_LWR,0.9
South America_Southern,Gen_III,0.9
South America_Southern,geothermal,0.9
South Asia,wind,0.36
South Asia,wind_storage,0.36
South Asia,rooftop_pv,0.254661555
South Asia,CSP,0.275019061
South Asia,CSP_storage,0.715049558
South Asia,PV,0.254661555
South Asia,PV_storage,0.254661555
South Asia,coal (conv pul),0.85
South Asia,coal (conv pul CCS),0.8
South Asia,coal (IGCC),0.8
South Asia,coal (IGCC CCS),0.8
South Asia,gas (steam/CT),0.8
South Asia,gas (CC),0.85
South Asia,gas (CC CCS),0.8
South Asia,refined liquids (steam/CT),0.8
South Asia,refined liquids (CC),0.85
South Asia,refined liquids (CC CCS),0.8
South Asia,biomass (conv),0.85
South Asia,biomass (conv CCS),0.8
South Asia,biomass (IGCC),0.8
South Asia,biomass (IGCC CCS),0.8
South Asia,Gen_II_LWR,0.9
South Asia,Gen_III,0.9
South Asia,geothermal,0.9
South Korea,wind,0.29
South Korea,wind_storage,0.29
South Korea,rooftop_pv,0.209226928
South Korea,CSP,0.339213182
South Korea,CSP_storage,0.85
South Korea,PV,0.209226928
South Korea,PV_storage,0.209226928
South Korea,coal (conv pul),0.85
South Korea,coal (conv pul CCS),0.8
South Korea,coal (IGCC),0.8
South Korea,coal (IGCC CCS),0.8
South Korea,gas (steam/CT),0.8
South Korea,gas (CC),0.85
South Korea,gas (CC CCS),0.8
South Korea,refined liquids (steam/CT),0.8
South Korea,refined liquids (CC),0.85
South Korea,refined liquids (CC CCS),0.8
South Korea,biomass (conv),0.85
South Korea,biomass (conv CCS),0.8
South Korea,biomass (IGCC),0.8
South Korea,biomass (IGCC CCS),0.8
South Korea,Gen_II_LWR,0.9
South Korea,Gen_III,0.9
South Korea,geothermal,0.9
Southeast Asia,wind,0.36
Southeast Asia,wind_storage,0.36
Southeast Asia,rooftop_pv,0.236867759
Southeast Asia,CSP,0.280709728
Southeast Asia,CSP_storage,0.729845294
Southeast Asia,PV,0.236867759
Southeast Asia,PV_storage,0.236867759
Southeast Asia,coal (conv pul),0.85
Southeast Asia,coal (conv pul CCS),0.8
Southeast Asia,coal (IGCC),0.8
Southeast Asia,coal (IGCC CCS),0.8
Southeast Asia,gas (steam/CT),0.8
Southeast Asia,gas (CC),0.85
Southeast Asia,gas (CC CCS),0.8
Southeast Asia,refined liquids (steam/CT),0.8
Southeast Asia,refined liquids (CC),0.85
Southeast Asia,refined liquids (CC CCS),0.8
Southeast Asia,biomass (conv),0.85
Southeast Asia,biomass (conv CCS),0.8
Southeast Asia,biomass (IGCC),0.8
Southeast Asia,biomass (IGCC CCS),0.8
Southeast Asia,Gen_II_LWR,0.9
Southeast Asia,Gen_III,0.9
Southeast Asia,geothermal,0.9
Taiwan,wind,0.32
Taiwan,wind_storage,0.32
Taiwan,rooftop_pv,0.199958443
Taiwan,CSP,0.401339283
Taiwan,CSP_storage,0.85
Taiwan,PV,0.199958443
Taiwan,PV_storage,0.199958443
Taiwan,coal (conv pul),0.85
Taiwan,coal (conv pul CCS),0.8
Taiwan,coal (IGCC),0.8
Taiwan,coal (IGCC CCS),0.8
Taiwan,gas (steam/CT),0.8
Taiwan,gas (CC),0.85
Taiwan,gas (CC CCS),0.8
Taiwan,refined liquids (steam/CT),0.8
Taiwan,refined liquids (CC),0.85
Taiwan,refined liquids (CC CCS),0.8
Taiwan,biomass (conv),0.85
Taiwan,biomass (conv CCS),0.8
Taiwan,biomass (IGCC),0.8
Taiwan,biomass (IGCC CCS),0.8
Taiwan,Gen_II_LWR,0.9
Taiwan,Gen_III,0.9
Taiwan,geothermal,0.9
USA,wind,0.38
USA,wind_storage,0.38
USA,rooftop_pv,0.2
USA,CSP,0.25
USA,CSP_storage,0.65
USA,PV,0.2
USA,PV_storage,0.2
USA,coal (conv pul),0.85
USA,coal (conv pul CCS),0.8
USA,coal (IGCC),0.8
USA,coal (IGCC CCS),0.8
USA,gas (steam/CT),0.8
